"","Season","Squad","Player","Nation","Age","Gls","Ast","G_minus_PK","PK","xG_Expected","Min_Playing_Time","PlayerURL"
"1","2020-2021","Manchester City","Ederson","BRA","26",0,1,0,0,0,3240,"https://fbref.com/en/players/3bb7b8b4/Ederson"
"2","2020-2021","Manchester City","Rúben Dias","POR","23",1,0,1,0,1.9,2843,"https://fbref.com/en/players/31c69ef1/Ruben-Dias"
"3","2020-2021","Manchester City","Rodri","ESP","24",2,2,1,1,2.4,2748,"https://fbref.com/en/players/6434f10d/Rodri"
"4","2020-2021","Manchester City","Raheem Sterling","ENG","25",10,7,10,0,11,2536,"https://fbref.com/en/players/b400bde0/Raheem-Sterling"
"5","2020-2021","Manchester City","João Cancelo","POR","26",2,3,2,0,1.6,2299,"https://fbref.com/en/players/bd6351cd/Joao-Cancelo"
"6","2020-2021","Manchester City","Bernardo Silva","POR","25",2,6,2,0,2.8,2065,"https://fbref.com/en/players/3eb22ec9/Bernardo-Silva"
"7","2020-2021","Manchester City","İlkay Gündoğan","GER","29",13,2,12,1,9,2029,"https://fbref.com/en/players/819b3158/Ilkay-Gundogan"
"8","2020-2021","Manchester City","Kevin De Bruyne","BEL","29",6,12,4,2,9.3,1997,"https://fbref.com/en/players/e46012d4/Kevin-De-Bruyne"
"9","2020-2021","Manchester City","Riyad Mahrez","ALG","29",9,6,9,0,4.7,1949,"https://fbref.com/en/players/892d5bb1/Riyad-Mahrez"
"10","2020-2021","Manchester City","Gabriel Jesus","BRA","23",9,4,9,0,8.7,2063,"https://fbref.com/en/players/b66315ae/Gabriel-Jesus"
"11","2020-2021","Manchester City","Kyle Walker","ENG","30",1,1,1,0,0.3,1946,"https://fbref.com/en/players/86dd77d1/Kyle-Walker"
"12","2020-2021","Manchester City","John Stones","ENG","26",4,0,4,0,1.8,1933,"https://fbref.com/en/players/5eecec3d/John-Stones"
"13","2020-2021","Manchester City","Phil Foden","ENG","20",9,5,9,0,5,1616,"https://fbref.com/en/players/ed1e53f3/Phil-Foden"
"14","2020-2021","Manchester City","Oleksandr Zinchenko","UKR","23",0,0,0,0,0.7,1478,"https://fbref.com/en/players/51cf8561/Oleksandr-Zinchenko"
"15","2020-2021","Manchester City","Ferrán Torres","ESP","20",7,2,7,0,4.9,1306,"https://fbref.com/en/players/9e1035f8/Ferran-Torres"
"16","2020-2021","Manchester City","Aymeric Laporte","ESP","26",0,0,0,0,0.8,1344,"https://fbref.com/en/players/119b9a8e/Aymeric-Laporte"
"17","2020-2021","Manchester City","Fernandinho","BRA","35",0,2,0,0,0.7,1188,"https://fbref.com/en/players/101da2b5/Fernandinho"
"18","2020-2021","Manchester City","Benjamin Mendy","FRA","26",2,1,2,0,0.3,953,"https://fbref.com/en/players/5271c8f1/Benjamin-Mendy"
"19","2020-2021","Manchester City","Nathan Aké","NED","25",1,0,1,0,0.3,797,"https://fbref.com/en/players/eaeca114/Nathan-Ake"
"20","2020-2021","Manchester City","Sergio Agüero","ARG","32",4,1,3,1,3.5,559,"https://fbref.com/en/players/4d034881/Sergio-Aguero"
"21","2020-2021","Manchester City","Eric García","ESP","19",0,0,0,0,0.1,383,"https://fbref.com/en/players/2bed3eab/Eric-Garcia"
"22","2020-2021","Manchester City","Scott Carson","ENG","34",0,0,0,0,0,90,"https://fbref.com/en/players/3e1550ee/Scott-Carson"
"23","2020-2021","Manchester City","Zack Steffen","USA","25",0,0,0,0,0,90,"https://fbref.com/en/players/42130443/Zack-Steffen"
"24","2020-2021","Manchester City","Liam Delap","ENG","17",0,0,0,0,0,40,"https://fbref.com/en/players/dd897ee7/Liam-Delap"
"25","2020-2021","Manchester City","Adrian Bernabe","ESP","19",NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/548672b4/Adrian-Bernabe"
"26","2020-2021","Manchester City","Thomas Doyle","ENG","18",NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/5526deb1/Thomas-Doyle"
"27","2020-2021","Manchester City","Claudio Gomes","FRA","20",NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/22f6ed2c/Claudio-Gomes"
"28","2020-2021","Manchester City","Taylor Harwood-Bellis","ENG","18",NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/47327321/Taylor-Harwood-Bellis"
"29","2020-2021","Manchester City","Felix Kalu Nmecha","GER","19",NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/091c86e2/Felix-Kalu-Nmecha"
"30","2020-2021","Manchester City","Luke Mbete-Tatu","ENG","16",NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/387e1d35/Luke-Mbete-Tatu"
"31","2020-2021","Manchester City","Nicolás Otamendi","ARG","32",NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/0d267745/Nicolas-Otamendi"
"32","2020-2021","Manchester City","Cole Palmer","ENG","18",NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/dc7f8a28/Cole-Palmer"
"33","2020-2021","Manchester City","James Trafford","ENG","17",NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/259fea27/James-Trafford"
"34","2020-2021","Manchester United","Bruno Fernandes","POR","25",18,12,9,9,16.1,3099,"https://fbref.com/en/players/507c7bdf/Bruno-Fernandes"
"35","2020-2021","Manchester United","Aaron Wan-Bissaka","ENG","22",2,4,2,0,0.9,3060,"https://fbref.com/en/players/9e525177/Aaron-Wan-Bissaka"
"36","2020-2021","Manchester United","Harry Maguire","ENG","27",2,1,2,0,2.3,3047,"https://fbref.com/en/players/d8931174/Harry-Maguire"
"37","2020-2021","Manchester United","Marcus Rashford","ENG","22",11,9,11,0,8.9,2920,"https://fbref.com/en/players/a1d5bd30/Marcus-Rashford"
"38","2020-2021","Manchester United","Luke Shaw","ENG","25",1,5,1,0,0.6,2654,"https://fbref.com/en/players/9c94165b/Luke-Shaw"
"39","2020-2021","Manchester United","Victor Lindelöf","SWE","26",1,1,1,0,0.6,2585,"https://fbref.com/en/players/f5deef4c/Victor-Lindelof"
"40","2020-2021","Manchester United","Fred","BRA","27",1,0,1,0,1.8,2390,"https://fbref.com/en/players/b853e0ad/Fred"
"41","2020-2021","Manchester United","David de Gea","ESP","29",0,0,0,0,0,2295,"https://fbref.com/en/players/7ba6d84e/David-de-Gea"
"42","2020-2021","Manchester United","Scott McTominay","SCO","23",4,1,4,0,2.1,2129,"https://fbref.com/en/players/d93c2511/Scott-McTominay"
"43","2020-2021","Manchester United","Paul Pogba","FRA","27",3,3,3,0,2.8,1897,"https://fbref.com/en/players/867239d3/Paul-Pogba"
"44","2020-2021","Manchester United","Mason Greenwood","ENG","18",7,2,7,0,6,1822,"https://fbref.com/en/players/58eee997/Mason-Greenwood"
"45","2020-2021","Manchester United","Anthony Martial","FRA","24",4,3,4,0,6.5,1480,"https://fbref.com/en/players/8b788c01/Anthony-Martial"
"46","2020-2021","Manchester United","Edinson Cavani","URU","33",10,3,10,0,8,1375,"https://fbref.com/en/players/527f063d/Edinson-Cavani"
"47","2020-2021","Manchester United","Dean Henderson","ENG","23",0,0,0,0,0,1125,"https://fbref.com/en/players/e5a76dfe/Dean-Henderson"
"48","2020-2021","Manchester United","Nemanja Matić","SRB","31",0,0,0,0,0.3,1106,"https://fbref.com/en/players/eb7822d7/Nemanja-Matic"
"49","2020-2021","Manchester United","Daniel James","WAL","22",3,1,3,0,2.2,910,"https://fbref.com/en/players/c931d9f9/Daniel-James"
"50","2020-2021","Manchester United","Eric Bailly","CIV","26",0,0,0,0,0.1,916,"https://fbref.com/en/players/a1232f4e/Eric-Bailly"
"51","2020-2021","Manchester United","Alex Telles","BRA","27",0,2,0,0,0.2,690,"https://fbref.com/en/players/e73c9bb2/Alex-Telles"
"52","2020-2021","Manchester United","Juan Mata","ESP","32",1,2,0,1,1,509,"https://fbref.com/en/players/29733c72/Juan-Mata"
"53","2020-2021","Manchester United","Donny van de Beek","NED","23",1,1,1,0,0.4,524,"https://fbref.com/en/players/50dc94ce/Donny-van-de-Beek"
"54","2020-2021","Manchester United","Axel Tuanzebe","ENG","22",0,0,0,0,0,404,"https://fbref.com/en/players/2baec6ce/Axel-Tuanzebe"
"55","2020-2021","Manchester United","Brandon Williams","ENG","19",0,0,0,0,0.2,188,"https://fbref.com/en/players/5e74d6c8/Brandon-Williams"
"56","2020-2021","Manchester United","Amad Diallo","CIV","18",0,1,0,0,0,166,"https://fbref.com/en/players/9dc96f10/Amad-Diallo"
"57","2020-2021","Manchester United","Anthony Elanga","SWE","18",1,0,1,0,0.4,155,"https://fbref.com/en/players/2fba6108/Anthony-Elanga"
